word,lemma,in_bank,bank_headword,level,zipf,sc_opt_exams,sc_opt_correct_exams,restatement_exams,rc_question_exams,exams_any_role,occurrences,weighted_score
distort,distort,1,distort,C1,3.63,9,3,0,0,10,10,46
contain,contain,0,,A2,4.68,8,2,13,4,42,86,155
question,question,0,,A1,5.35,7,1,41,11,53,271,252
pursue,pursue,0,,B2,4.26,7,1,1,0,11,11,43
section,section,0,,A1,5.0,7,1,0,0,11,22,43
without,without,0,,A1,5.69,6,0,12,1,35,59,112
convict,convict,1,convict,C1,4.2,6,1,0,0,10,11,38
sweep,sweep,0,,B2,3.97,6,2,0,0,11,11,37
adjust,adjust,0,,B2,4.11,6,0,1,0,10,10,36
friction,friction,1,friction,off~C1+,3.71,6,2,0,0,9,10,35
excuse,excuse,0,,B2,4.56,6,0,1,0,7,7,33
alert,alert,1,alert,C1,4.33,6,2,0,0,8,8,32
grateful,grateful,0,,B1,4.35,6,0,0,0,7,7,32
contemplate,contemplate,0,,C1,3.41,6,1,0,0,6,6,30
wear,wear,0,,A1,4.92,5,0,4,0,23,41,71
surround,surround,0,,B2,4.49,5,0,3,0,19,20,51
isolate,isolate,1,isolated,B2,4.24,5,2,1,0,12,17,43
regret,regret,0,,B2,4.37,5,0,3,0,11,11,38
intrigue,intrigue,1,intriguing,C1,3.69,5,1,0,0,15,18,37
capable,capable,1,capable,B2,4.61,5,2,3,0,9,11,37
trace,trace,1,trace,B2,4.19,5,2,1,0,10,12,35
shrink,shrink,0,,C1,3.73,5,2,2,0,8,8,32
dismiss,dismiss,0,,B2,4.2,5,4,1,1,8,9,32
resolve,resolve,1,resolve,B2,4.17,5,1,2,0,8,9,32
command,command,0,,B2,4.7,5,0,1,0,9,11,31
lethal,lethal,1,lethal,C1,3.86,5,0,1,0,7,7,29
distract,distract,0,,B2,3.88,5,0,1,0,6,6,28
presume,presume,1,presumed,C1,3.62,5,0,0,0,6,6,26
resent,resent,0,,off~C2,3.38,5,0,0,0,6,6,26
hint,hint,0,,C1,4.07,5,0,0,0,6,6,26
indulge,indulge,0,,C1,3.54,5,0,0,0,5,5,25
thaw,thaw,0,,off~C2,3.18,5,1,0,0,5,5,25
merge,merge,0,,C1,3.75,5,1,0,0,5,5,25
make,make,0,,A1,6.08,4,2,51,16,60,472,409
hold,hold,0,,A2,5.24,4,1,16,0,38,76,120
keep,keep,0,,A1,5.66,4,0,6,3,41,71,112
shape,shape,0,,A2,4.72,4,3,7,0,29,45,84
principle,principle,1,principles,B2,4.42,4,0,11,0,24,34,75
require,require,0,,B1,5.02,4,1,5,0,25,35,72
rise,rise,0,,A2,4.81,4,2,10,0,24,29,68
sense,sense,0,,A2,5.19,4,0,7,0,24,31,63
maintain,maintain,1,maintain,B2,4.65,4,0,3,0,27,35,61
range,range,0,,B1,5.12,4,2,4,0,24,27,58
draw,draw,0,,A1,4.81,4,2,6,0,22,25,57
convince,convince,1,convinced,B1,4.4,4,0,5,0,19,23,51
accurate,accurate,1,accurate,B2,4.57,4,1,7,0,15,21,51
reveal,reveal,1,revealed,B2,4.65,4,0,5,0,15,17,46
ensure,ensure,0,,B2,4.7,4,2,3,0,17,20,45
task,task,0,,A2,4.65,4,1,3,1,17,22,45
admit,admit,0,,B1,4.58,4,1,5,0,12,14,43
assume,assume,1,assumed,B2,4.57,4,2,5,0,14,16,42
guarantee,guarantee,1,guarantee,B2,4.44,4,1,2,0,13,15,38
recover,recover,1,recover,B2,4.29,4,0,2,0,11,15,38
persuade,persuade,0,,B1,3.82,4,0,3,0,12,13,38
endure,endure,1,endure,C1,3.82,4,3,3,0,13,14,37
insight,insight,1,insight,B2,4.19,4,0,3,0,11,12,35
prominent,prominent,1,prominent,C1,4.33,4,1,2,0,11,11,31
obtain,obtain,0,,B2,4.49,4,0,1,0,12,15,31
incorporate,incorporate,1,incorporate,B2,4.2,4,2,2,0,11,11,31
garment,garment,1,garments,off~C1+,3.59,4,0,1,0,9,9,29
remedy,remedy,1,remedy,C1,3.83,4,1,1,0,8,9,28
generous,generous,0,,B1,4.2,4,0,2,0,6,7,28
persuasive,persuasive,0,,off~C2,3.41,4,0,2,0,7,7,28
prone,prone,0,,off~C1+,3.93,4,4,2,0,7,7,28
strip,strip,0,,C1,4.36,4,1,0,0,9,9,28
designate,designate,1,designate,C1,4.25,4,1,0,1,8,9,27
relieve,relieve,0,,B2,3.95,4,0,1,0,7,9,27
carve,carve,1,carve,C1,3.88,4,2,1,0,9,10,27
label,label,0,,B1,4.43,4,0,2,0,7,7,27
fortune,fortune,0,,B2,4.3,4,2,0,0,9,9,26
offend,offend,0,,B2,3.93,4,0,1,1,7,7,26
retire,retire,0,,B1,4.44,4,1,0,0,7,8,25
pledge,pledge,0,,C1,4.0,4,1,1,0,6,6,25
conceal,conceal,0,,C1,3.72,4,1,0,0,7,7,25
alliance,alliance,1,alliance,C1,4.4,4,0,0,0,6,7,24
intimidate,intimidate,0,,off~C2,3.44,4,0,1,0,6,6,24
inform,inform,0,,B2,4.45,4,0,1,0,6,6,24
install,install,0,,B2,4.4,4,1,0,0,7,7,23
incentive,incentive,1,incentive,B2,3.97,4,0,0,0,6,6,22
consequently,consequently,1,consequently,B2,3.94,4,1,0,0,6,6,22
interrupt,interrupt,0,,B2,3.85,4,0,0,0,5,5,22
fortunately,fortunately,0,,A2,3.97,4,0,0,0,6,6,22
caution,caution,1,caution,C1,3.97,4,0,0,0,6,6,22
smuggle,smuggle,0,,off~C2,3.22,4,0,0,0,6,6,22
decent,decent,0,,B2,4.4,4,0,0,0,5,5,21
drift,drift,0,,C1,3.82,4,1,0,0,5,5,21
digest,digest,0,,off~C1+,3.71,4,0,0,0,5,5,21
certify,certify,0,,off~C1,4.23,4,1,0,0,5,5,21
liberate,liberate,0,,off~C1+,3.53,4,1,0,0,5,5,21
haul,haul,0,,off~C1+,3.88,4,0,0,0,5,5,21
chant,chant,0,,off~C1+,3.6,4,0,0,0,4,4,20
duplicate,duplicate,0,,off~C1+,3.59,4,0,0,0,4,4,20
aptitude,aptitude,0,,off~C2,3.2,4,1,0,0,4,4,20
embellish,embellish,0,,off~C2,3.09,4,0,0,0,4,4,20
hurdle,hurdle,0,,off~C1+,3.54,4,0,0,0,4,4,20
abbreviate,abbreviate,0,,off~C2,3.19,4,1,0,0,4,4,20
reconcile,reconcile,0,,off~C2,3.5,4,0,0,0,4,4,20
