exam,year,chapter,position,stem,opt1,opt2,opt3,opt4,official_key,stem_wc,correct_wc,ratio,rank_of_correct,correct_strictly_longest,correct_strictly_shortest,parity_deficit,conn_stem,conn_correct,quant_stem,commas,proper_nouns,hard_stem,hard_list,is_quote,correct_max_overlap,overlap_correct,overlap_max,mech_R,prox_P,g_list,clause_count,notes
autumn2023,2023,1,9,"Bermuda, a group of islands in the Atlantic Ocean, is a popular resort.",Bermuda is one of several islands in the Atlantic Ocean visited by tourists.,Bermuda is the most popular of all Atlantic island resorts.,The islands of Bermuda offer a wide variety of attractions.,Many people like to vacation on the islands of Bermuda.,4,13,10,0.77,2,False,False,1.0,0,0,0,2,2,0,,False,False,2,4,"d1:R3R5,P2;d2:R1,P2;d3:R3R5,P2",,"1,3",1,
autumn2023,2023,1,10,"Reluctant to exploit the renown of his already successful brother George, Ira Gershwin began his lyric-writing career under the assumed name of Arthur Francis.",Ira Gershwin first wrote lyrics under the name Arthur Francis because he did not want to take advantage of his brother George's fame.,"Determined to make his own way as a lyric writer, Ira Gershwin affiliated himself with Arthur Francis rather than with his famous brother, George Gershwin.","In order to avoid being confused with his well-known brother George, Ira Gershwin took the name Arthur Francis when he first started his career as a lyric writer.",Ira Gershwin was so intimidated by his brother George's success as a lyric writer that he took the pen name Arthur Francis to avoid unfavorable comparisons.,1,24,23,0.96,4,False,True,3.3,0,1,1,1,5,2,successful;lyric-writing,False,False,6,7,"d2:R7R5,P2;d3:R3,P3;d4:R3R7,P2",,"1,3,6",3,
autumn2023,2023,1,11,"The ruins of Pompeii, a city wiped out by a volcanic eruption in 79 C.E., were not excavated until 1748.","In 1748, the remains of Pompeii – a city destroyed by a volcanic eruption in 79 C.E. – were finally unearthed.",Only in 1748 did it become known that the city of Pompeii had been devastated by a volcanic eruption in 79 C.E.,No serious attempts to study Pompeii – which was completely buried during a volcanic eruption in 79 C.E. – were made until 1748.,"The city of Pompeii, which was evacuated during a volcanic eruption in 79 C.E., was rediscovered in 1748.",1,20,21,1.05,3,False,False,4.0,1,0,0,2,2,1,excavated,False,False,5,5,"d2:R7,P2;d3:R3,P2;d4:R7,P3",,"1,3",2,
autumn2023,2023,1,12,"In 729 B.C.E., Babylonia was annexed by the Assyrian Empire.","In 729 B.C.E., Babylonia gained its independence from the Assyrian Empire.",Babylonia was incorporated into the Assyrian Empire in 729 B.C.E.,"In 729 B.C.E., the Assyrian Empire extended all the way to Babylonia.",The rivalry between the Assyrian Empire and Babylonia peaked in 729 B.C.E. )‫,2,10,10,1.0,4,False,True,2.0,0,0,0,1,4,0,,False,False,3,3,"d1:R2,P1;d3:R7,P2;d4:R3R5,P1",,"1,2",1,
autumn2023,2023,2,9,The temperature rises as one descends into the Grand Canyon.,It can get very hot in the Grand Canyon.,It is cooler at the bottom of the Grand Canyon than at the top.,"The lower one goes in the Grand Canyon, the hotter it gets.",The air at the top of the Grand Canyon is usually cool.,3,10,12,1.2,2,False,False,3.7,0,0,0,0,2,1,temperature,False,False,2,2,"d1:R5,P1;d2:R2,P2;d4:R5R3,P1",,"3,9",2,
autumn2023,2023,2,10,The state of Pennsylvania has one of the largest rural populations in the United States.,Most of the people in Pennsylvania are farmers.,Pennsylvania has more people living in rural areas than almost any other state.,Much of the land in Pennsylvania is used for farming.,The state of Pennsylvania is known for its large rural communities.,2,15,13,0.87,1,True,False,3.3,0,0,0,0,3,1,populations,False,False,3,3,"d1:R7R1,P1;d3:R7,P1;d4:R3,P3",,"1,6",1,
autumn2023,2023,2,11,"Bjarne Andresen, a professor at the University of Copenhagen, claims that the term ""global temperature"", often referred to in discussions on global warming, is thermodynamically and mathematically untenable.","Andresen claims that measuring ""global temperature"" using thermodynamic and mathematical principles is the least accurate method of estimating the rate of global warming.","An expert in thermodynamics and mathematics, Andresen supports the widely held assumption that a direct correlation exists between global warming and what is referred to as ""global temperature"".","Andresen has argued that the notion of a ""global temperature"", often mentioned in reference to global warming, is unsound in both mathematical and thermodynamic terms.","In his research on global warming, Andresen questions the widely accepted claim that ""global temperature"" can be predicted using thermodynamic and mathematical tools.",3,28,25,0.89,2,False,False,2.3,0,0,0,4,3,5,professor;temperature;discussions;thermodynamically;untenable,False,False,6,6,"d1:R7R6,P2;d2:R2,P2;d4:R7,P3",,"1,3",3,
autumn2023,2023,2,12,"The old quarter of Dinan, France, is a labyrinth of streets where time appears to have stood still.",One can wander for hours along the winding streets of Dinan's old quarter.,The passage of time has not dulled the charm of the streets in Dinan's old quarter.,The cobbled streets of Dinan's old quarter are worth taking time to explore.,The maze of streets in Dinan's old quarter look much as they did long ago. )‫,4,18,16,0.89,1,False,False,2.0,1,0,0,2,2,1,labyrinth,False,False,2,3,"d1:R3R5,P2;d2:R7,P3;d3:R3R5,P2",,"1,6",2,
autumn2024,2024,1,9,The story of Don Quixote implies that fiction and historical truth are frequently indistinguishable.,Don Quixote suggests that it is often impossible to tell the difference between fact and fiction.,"Like many great works of fiction, Don Quixote is based primarily on actual historical events.","Some parts of Don Quixote are totally fictional, while others are rooted in historical fact.",There is more fiction than fact in Don Quixote. )‫,1,14,16,1.14,1,True,False,5.3,0,0,0,0,2,2,historical;indistinguishable,False,False,3,3,"d2:R2R1,P2;d3:R7R5,P2;d4:R5R1,P2",,"1,6",2,
autumn2024,2024,1,10,The permanent shutdown of Greyhound bus service in Canada has exacerbated the accessibility problem faced by the country's rural communities.,Rural communities in Canada are protesting the closure of the Greyhound bus company.,Greyhound buses no longer service some of Canada's most remote locations due to poor infrastructure.,"Due to reduced demand among rural customers, the Greyhound bus company has cancelled many of its Canadian routes.",Travel has become even more difficult for people living in the Canadian countryside since Greyhound bus service was discontinued there.,4,20,20,1.0,1,True,False,4.7,0,1,0,0,2,4,permanent;exacerbated;country's;communities,False,False,2,4,"d1:R3,P1;d2:R3R7,P2;d3:R2R3,P2",,"1,3,6",2,
