exam,section,text_no,n,pos_in_block,type,negative,cited_line,key,stem,opt1,opt2,opt3,opt4,locator_in_stem,answer_home,answer_span_sentences,scan_sufficient,scan_comment,correct_option_relation,correct_shares_wording,key_looks_wrong,key_comment,key_reliability,mech1,why1,mech2,why2,mech3,why3,mech4,why4
apr_2014,1,1,13,1,paragraph_purpose,False,,3,The first paragraph is mainly about -,what the first flags looked like,flags in the Bible,the use of flags in ancient times,why kings have flags,ordinal_position,p1,3,needs_paragraph,Bible and army examples must be seen as instances of one ancient-use claim.,generalization,True,False,,ok,not_stated,No flag's appearance is described in this paragraph.,too_narrow,The Bible supplies one of three examples.,,,too_narrow,Kings appear in a list; no reason is given.
apr_2014,1,1,14,2,vocab_in_context,False,line 4,2,"In line 4, ""banners"" is another word for -",armies,flags,tribes,countries,line_number,p1,1,yes_local,Armies carrying banners to war parallels the flag sentences immediately above.,paraphrase,True,False,,ok,right_words_wrong_relation,Armies carry the banners; they are not the banners.,,,wrong_location,Real word taken from the preceding Bible sentence.,right_words_wrong_relation,"Countries are what flags stand for, not a synonym."
apr_2014,1,1,15,3,reference_word,False,line 10,4,"""These"" (line 10) refers to -",most countries,natural features,ideas and beliefs,colors and designs,line_number,p3,2,yes_local,The referent is the compound object of the sentence immediately before.,inference_one_step,True,False,,ok,right_words_wrong_relation,"Subject of the previous sentence, not what symbolizes anything.",right_words_wrong_relation,"That is what 'These' symbolize, not what they are.",wrong_location,Phrase taken from a later sentence in the paragraph.,,
apr_2014,1,1,16,4,inference,False,,4,It can be understood from the third paragraph that maple trees -,grow in Lebanon,are a symbol of religious groups,symbolize the hope for peace in Ireland,are a natural feature of Canada,paragraph_number,p3,2,yes_local,'Natural features' sentence plus the Canada example are adjacent and decisive.,inference_one_step,True,False,,ok,wrong_entity,"Lebanon's tree is the cedar, not the maple.",wrong_location,Religious symbolism belongs to Ireland's colours.,wrong_entity,"Peace is symbolized by Irish colours, not maple trees.",,
apr_2014,1,1,17,5,inference,False,,1,It can be understood from the last paragraph that the color green -,may represent different things,appears on the flags of most countries,is a symbol of communism,represents all religions,ordinal_position,p4,2,yes_local,The Pakistan and Sierra Leone green sentences sit side by side at the end.,inference_one_step,True,False,,ok,,,overreach,"'Most countries' flags' belongs to another paragraph, not to green.",wrong_entity,"The star, not green, symbolizes communism.",overreach,Only Islam is named; 'all religions' is unsupported.
apr_2014,1,2,18,1,main_idea,False,,2,The main purpose of the text is to -,discuss the positive and negative effects of the fast food industry,present Eric Schlosser's criticisms of the fast food industry,compare American fast food with that of other countries,discuss the impact of fast food on American culture,none,whole,99,no_locator,Every paragraph reports one of Schlosser's charges; the frame only shows across all four.,generalization,True,False,,ok,half_true,Negative effects only; no positive side is presented.,,,right_words_wrong_relation,"Other countries show spread, not a culinary comparison.",too_narrow,Culture is one of three impacts the text lists.
apr_2014,1,2,19,2,paragraph_purpose,False,,4,The main purpose of the second paragraph is to -,present statistics on fast food consumption,describe the spiraling increase in food-borne illnesses,argue that mounting obesity rates are a result of fast food,describe different health effects of fast food,paragraph_number,p2,4,needs_paragraph,Obesity and illness are separate effects; only both together give 'different health effects'.,generalization,False,False,,ok,too_narrow,Consumption figures are the opening setup only.,too_narrow,Lifts a verbatim phrase covering one of two effects.,too_narrow,Lifts 'mounting obesity' and drops the illness strand.,,
apr_2014,1,2,20,3,explicit_detail,False,lines 11-13,4,"According to lines 11-13, Schlosser claims that fast food corporations -",have been persuaded by influential policy makers to spend more money on food safety,disagree with many policy makers that new food safety standards are necessary,are angry that legislation has been passed that imposes costly new standards for food safety,have tried to prevent laws from being passed that would require them to spend a lot of money on food safety,line_number,p2,1,yes_local,"The cited sentence contains block, legislation, costly, food safety; direction is everything.",paraphrase,True,False,,ok,contradiction,"They conspired to block spending, not agreed to spend.",right_words_wrong_relation,"They conspired with policy makers, not against them.",right_words_wrong_relation,"The legislation was blocked, so it never passed.",,
apr_2014,1,2,21,4,inference,False,,1,It can be inferred from the third paragraph that many small businesses -,have suffered economically as a result of the growth of large fast food chains,have higher worker safety standards than the large fast food corporations,are trying to meet the large restaurant chains' demands for uniformity,cannot afford to pay the same wages as the fast food giants,paragraph_number,p3,2,needs_paragraph,"Restaurants, farmers and suppliers must be pooled into one 'small businesses' claim.",generalization,True,False,,ok,,,right_words_wrong_relation,"Worker safety concerns the giants resisting rules, not small firms.",right_words_wrong_relation,Uniformity demands marginalized suppliers; they are not chasing them.,right_words_wrong_relation,"Minimum wage is what the chains resisted, not a small-firm gap."
apr_2014,1,2,22,5,inference,False,,1,"It can be inferred from the text that Schlosser that ""the golden arches are as familiar to schoolchildren as pictures of Mao Tse-Tung.""",is upset,is glad,does not believe,does not know,quoted_phrase,whole,99,needs_whole_text,The quoted sentence is tonally neutral; only the book's overall indictment fixes his stance.,inference_one_step,False,False,,ok,,,contradiction,He calls the homogenization deadening and devastating.,contradiction,He is the one asserting the fact.,contradiction,The claim is presented as his own reporting.
