blind_id,stem,opt1,opt2,opt3,opt4
1,"The sands of the western Sahara desert have traveled far to reach their destination, migrating from Egypt and Sudan.",The sand of the western Sahara comes all the way from Egypt and Sudan.,Sand from Egypt and Sudan is sometimes found as far west as the Sahara desert.,The sands of Egypt and Sudan come from the western Sahara.,The sand of the western Sahara is remarkably similar to that found in Egypt and Sudan.
2,The Ziani family of Venice rose to prominence in the 10th century.,The Ziani family ruled Venice in the 10th century.,"Until the 10th century, the Ziani family lived in Venice.",The Zianis were a typical 10th-century family.,The Ziani family became influential in the 10th century.
3,Research has shown that an alligator's reproductive rate can be significantly increased if the reptile is provided with an optimal environment.,A recent study has shown that environmental factors may affect an alligator's reproductive rate.,It is now known that alligators bred in a controlled environment grow to a larger- than-average size.,It has been found that alligators living in ideal conditions produce many more offspring.,Alligators can thrive and reproduce only in certain types of surroundings. )‫
4,"In an effort to rectify the gender imbalance in its collection, the Baltimore Museum of Art pledged that throughout 2020 it would acquire only works created by women.","The Baltimore Museum of Art announced that, due to criticism from women's groups, it would in the course of 2020 display only pieces of art that had been created by women.","In 2020, the Baltimore Museum of Art initiated a program aimed at providing opportunities to women artists at the beginning of their careers.","In response to claims of gender inequality, the Baltimore Museum of Art decided that in 2020 it would purchase only works of art that portray women.","To compensate for the disproportionate number of male artists represented in its collection, the Baltimore Museum of Art undertook to buy during all of 2020 only artwork made by women."
5,The number of people elected to the House of Representatives from each U.S. state is proportionate to the state's population.,Representatives from the largest states have a great deal of influence in the U.S. House of Representatives.,"Every U.S. state, regardless of its size, is represented in the House of Representatives.",The procedure for electing members to the U.S. House of Representatives differs from state to state.,"The larger the population of a U.S. state, the more representatives it has in the House of Representatives."
6,The events of St. Francis's life are well chronicled.,Most of what we know about St. Francis's life comes from his writings.,The biography of St. Francis is fascinating.,Much has been written about the life of St. Francis.,The works of St. Francis are extremely accurate. )‫
7,The cautious seldom err. (Confucius),A life without risk is not worth living.,The brave rarely regret their actions.,"To succeed, one must be willing to fail.",Those who are careful make few mistakes.
8,"The ruins of Pompeii, a city wiped out by a volcanic eruption in 79 C.E., were not excavated until 1748.","In 1748, the remains of Pompeii – a city destroyed by a volcanic eruption in 79 C.E. – were finally unearthed.",Only in 1748 did it become known that the city of Pompeii had been devastated by a volcanic eruption in 79 C.E.,No serious attempts to study Pompeii – which was completely buried during a volcanic eruption in 79 C.E. – were made until 1748.,"The city of Pompeii, which was evacuated during a volcanic eruption in 79 C.E., was rediscovered in 1748."
9,Horticulturists at England's East Malling Institute are utilizing conventional breeding techniques rather than genetic engineering to produce giant strawberries.,"By using genetic engineering instead of conventional breeding techniques, horticulturists at England's East Malling Institute could grow larger strawberries.","At the East Malling Institute in England, horticulturists are growing very large strawberries using conventional breeding methods, not genetic engineering.","According to horticulturists at England's East Malling Institute, giant strawberries can be produced using either conventional breeding techniques or genetic engineering.",Horticulturists at England's East Malling Institute have found that they can produce giant strawberries by using both genetic engineering and conventional breeding techniques.
10,"The ancient city-state of Sparta – renowned for its warmongering ethos, rigid social hierarchy, and austerity – is widely regarded as the epitome of an authoritarian regime.","Many societies have attempted to emulate ancient Sparta's highly efficient system of government, which fostered a strong, secure, and superior society.","The distinguishing features of ancient Sparta, seen by many as the classic example of a dictatorship, were its militaristic character, inflexible social order, and minimalist way of life.",Ancient Sparta was the model of a disciplined and principled combative state capable of protecting its citizens from a multitude of threats.,"Ancient Sparta is remembered primarily as a society that spurned luxury in favor of hard work, strict ethics, and social accountability. )‫"
