rank,word,band,zipf,sc_option_exams,was_correct_answer_in,restatement_exams,exams_any_role,content_exists_in_db
1,contemplate,C1,3.41,6,1,0,6,1
2,shrink,C1,3.73,5,2,2,8,0
3,resent,מעל C1 (נדיר מאוד),3.38,5,0,0,6,1
4,hint,C1,4.07,5,0,0,6,0
5,thaw,מעל C1 (נדיר מאוד),3.18,5,1,0,5,0
6,indulge,C1,3.54,5,0,0,5,0
7,merge,C1,3.75,5,1,0,5,1
8,persuasive,מעל C1 (נדיר מאוד),3.41,4,0,2,7,0
9,prone,מעל C1,3.93,4,4,2,7,0
10,strip,C1,4.36,4,1,0,9,1
11,pledge,C1,4.0,4,1,1,6,1
12,conceal,C1,3.72,4,1,0,7,1
13,intimidate,מעל C1 (נדיר מאוד),3.44,4,0,1,6,0
14,smuggle,מעל C1 (נדיר מאוד),3.22,4,0,0,6,1
15,digest,מעל C1,3.71,4,0,0,5,1
16,liberate,מעל C1,3.53,4,1,0,5,0
17,haul,מעל C1,3.88,4,0,0,5,1
18,drift,C1,3.82,4,1,0,5,1
19,certify,C1,4.23,4,1,0,5,1
20,chant,מעל C1,3.6,4,0,0,4,1
21,duplicate,מעל C1,3.59,4,0,0,4,1
22,aptitude,מעל C1 (נדיר מאוד),3.2,4,1,0,4,1
23,embellish,מעל C1 (נדיר מאוד),3.09,4,0,0,4,1
24,hurdle,מעל C1,3.54,4,0,0,4,0
25,abbreviate,מעל C1 (נדיר מאוד),3.19,4,1,0,4,1
26,reconcile,מעל C1 (נדיר מאוד),3.5,4,0,0,4,0
27,navigate,מעל C1,3.68,3,0,0,8,1
28,pigment,מעל C1 (נדיר מאוד),3.37,3,1,2,6,0
29,portray,C1,3.85,3,0,3,7,0
30,obsolete,מעל C1,3.65,3,1,1,8,1
31,overthrow,מעל C1,3.61,3,0,2,5,0
32,enchant,מעל C1 (נדיר מאוד),3.44,3,0,2,5,1
33,reverse,C1,4.37,3,1,0,6,0
34,compromise,C1,4.15,3,0,2,6,1
35,futile,מעל C1 (נדיר מאוד),3.39,3,0,2,5,0
36,scroll,מעל C1,3.86,3,0,2,4,0
37,particle,C1,4.08,3,0,0,6,0
38,flee,C1,4.05,3,3,0,7,0
39,hatch,מעל C1,3.82,3,0,0,4,1
40,adorn,מעל C1 (נדיר מאוד),3.37,3,1,0,7,1
41,assert,C1,3.62,3,0,1,5,0
42,redeem,מעל C1,3.53,3,0,1,3,0
43,abbreviation,מעל C1 (נדיר מאוד),3.14,3,1,0,5,0
44,expel,מעל C1,3.7,3,0,1,4,0
45,enlighten,מעל C1 (נדיר מאוד),3.49,3,0,1,4,1
46,clan,מעל C1,3.97,3,0,0,4,0
47,flatter,מעל C1 (נדיר מאוד),3.46,3,0,1,4,1
48,postpone,C1,3.74,3,0,1,4,1
49,spectacle,C1,3.61,3,0,0,6,1
50,ignorant,C1,4.05,3,1,0,4,0
51,legislation,C1,4.55,3,0,0,4,0
52,specimen,C1,3.77,3,1,0,5,0
53,allocate,C1,3.83,3,1,0,5,0
54,articulate,C1,3.54,3,0,0,4,0
55,perish,מעל C1 (נדיר מאוד),3.32,3,0,0,4,1
56,graceful,מעל C1 (נדיר מאוד),3.39,3,1,0,4,0
57,accelerate,C1,3.75,3,0,0,5,0
58,pillar,מעל C1,3.64,3,0,0,4,0
59,sanctuary,מעל C1,3.93,3,2,0,4,1
60,hinder,מעל C1 (נדיר מאוד),3.39,3,2,0,4,0
61,solitude,מעל C1 (נדיר מאוד),3.42,3,0,0,4,1
62,fugitive,מעל C1,3.54,3,0,0,4,0
63,tilt,מעל C1,3.66,3,0,0,4,0
64,magnify,מעל C1 (נדיר מאוד),3.0,3,0,0,4,1
65,omen,מעל C1 (נדיר מאוד),3.12,3,0,0,4,0
66,captivity,מעל C1,3.56,3,2,0,4,0
67,deceive,מעל C1 (נדיר מאוד),3.39,3,0,0,4,0
68,scarce,מעל C1,3.61,3,2,0,4,1
69,patrol,C1,4.14,3,0,0,4,1
70,license,C1,4.52,3,0,0,4,0
71,exaggerate,C1,3.68,3,0,0,4,1
72,regal,מעל C1 (נדיר מאוד),3.34,3,0,0,3,0
73,disgrace,מעל C1,3.73,3,0,0,3,0
74,blaze,מעל C1,3.69,3,1,0,3,1
75,fluent,מעל C1,3.52,3,1,0,3,1
76,ascend,מעל C1 (נדיר מאוד),3.24,3,1,0,3,0
77,infidelity,מעל C1 (נדיר מאוד),3.26,3,0,0,3,0
78,dispense,מעל C1 (נדיר מאוד),3.11,3,1,0,3,0
79,loathe,מעל C1 (נדיר מאוד),3.11,3,0,0,3,0
80,superstition,מעל C1 (נדיר מאוד),3.21,3,0,0,3,1
81,interrogate,מעל C1 (נדיר מאוד),3.18,3,0,0,3,1
82,admonish,מעל C1 (נדיר מאוד),2.66,3,0,0,3,0
83,persuasion,מעל C1 (נדיר מאוד),3.33,3,0,0,3,0
84,salvage,מעל C1,3.65,3,2,0,3,1
85,obedient,מעל C1 (נדיר מאוד),3.19,3,0,0,3,1
86,overrule,מעל C1 (נדיר מאוד),3.12,3,0,0,3,0
87,crease,מעל C1 (נדיר מאוד),3.31,3,0,0,3,0
88,reimburse,מעל C1 (נדיר מאוד),3.06,3,0,0,3,1
89,recite,מעל C1 (נדיר מאוד),3.28,3,0,0,3,1
