exam,section,text_no,q_range,words,paragraphs,sentences,words_per_sentence,pct_outside_top5k,pct_outside_top8k,rare_words_per_sentence,domain,subject,shape,has_pivot,pivot_marker,opening_move,closing_move,is_biography,requires_outside_knowledge,key_reliability,passage
apr_2014,1,1,13-17,255,4,17,15.0,12.6,6.3,0.47,anthropology_culture,Flags as national and cultural symbols,expository_descriptive,False,,historical_date_anchor,last_fact,False,False,ok,"(1) Since ancient times, flags have been used as symbols of countries, kings, and social groups. In the Bible, each of the twelve tribes of Israel carried a flag as they traveled through the desert. The armies of the ancient Egyptians, Assyrians, and Romans carried banners when they went to war.

(5) During the 15th and 16th centuries, European explorers would place their country's flag in the new lands that they discovered. This showed that their king or queen now ruled over that land. In modern times, explorers have planted flags at the North and South Poles, on top of high mountains, and even on the moon, as a way of saying, ""We got here first.""

(10) Most countries' flags have two or three colors and simple designs. These may symbolize natural features of the country. Canada's flag shows the leaf of a maple tree, and Lebanon's flag has a picture of a cedar tree. Other flags represent ideas and beliefs. For example, Ireland's flag is green, orange, and white. These colors symbolize the country's Catholic and Protestant religious groups and the hope for peace between them.

(15) Some symbols appear on the flag of more than one country. The same symbol can represent different things. On the flag of the United States, the fifty stars stand for the fifty states. But the star on Vietnam's flag is a symbol of communism. The green in Pakistan's flag is a symbol of Islam. But in the flag of Sierra Leone, green represents farming, which is important to the country's economy."
apr_2014,1,2,18-22,293,4,16,18.3,23.5,16.0,1.38,business_economics,Schlosser's critique of fast food,problem_then_explanation,False,,named_person,summary_restatement,False,False,ok,"(1) Eric Schlosser's new book, Fast Food Nation: The Dark Side of the All-American Meal, will make you think twice before ordering your next hamburger. Schlosser contends that the fast food industry has had a profound and pervasive impact on America's health, economy, and culture, with fast food chains profiting at the expense of (5) the rest of society.

According to Schlosser, the typical American now consumes approximately three fast food hamburgers and four orders of french fries a week – to say nothing of other high-fat fast food meals. One effect of this has been a mounting obesity rate. Another has been a spiraling increase in food-borne illnesses, most notably those caused by the (10) notorious E. coli bacteria, as meat production becomes increasingly centralized to meet the demands of the huge and powerful fast food chains. Schlosser claims that fast food corporations have conspired with influential policy makers to block legislation that would impose costly new standards for food safety.

Furthermore, the same corporations have resisted worker safety and minimum wage (15) requirements. The fast food giants have also squeezed out small restaurants and local chains, which cannot compete with them. Even small farmers, ranchers, and other suppliers have become marginalized as a result of the large restaurant chains' demands for uniformity.

According to Schlosser, this ""deadening homogenization"" has had a devastating (20) cultural impact. Individual and regional culinary differences have been erased and commercial symbols and advertising slogans have become cultural icons. And the ""McDonaldization"" of society reaches far beyond the United States. In Brazil, McDonald's is now the country's largest private employer. In China, the golden arches are as familiar to schoolchildren as pictures of Mao Tse-Tung. It is no surprise, then, (25) that McDonald's has become a prime target of anti-globalization protesters throughout the world."
apr_2014,2,1,13-17,288,3,16,18.0,16.4,12.4,1.12,history,Stonehenge's origins and purpose,problem_then_explanation,False,,scene,open_question,False,False,ok,"(1) Huge stone slabs dot a grassy field. Some of the stones lie fallen, while others stand upright, forming part of a large circle. For centuries, visitors to this site have wondered how such mammoth rocks came to be placed there, and why.

This is Stonehenge, a prehistoric monument in southern England. Archeologists (5) have long searched for clues to its mysterious origins. Various artifacts they have found there tell us that people began building Stonehenge nearly 5,000 years ago, during the Late Stone Age. Stones were added to the site over the next 1,500 years, until Stonehenge was completed in 1600 B.C.E. Two types of stone were used: sandstone and bluestone. The slabs stand as high as 8 meters and weigh 20-50 metric tons each. (10) It is believed that the bluestone was transported over water by raft from a distance of more than 300 kilometers. The sandstone was once thought to have been hauled over land on wooden rollers. More recently, it has been suggested that the sandstone was brought to the area by melting glaciers.

Experts are not sure exactly what took place at Stonehenge, but it is likely that (15) the structure was first built as a place to hold religious ceremonies and bury the dead. Stonehenge also served as a huge calendar, which was used for predicting the coming of the seasons and even eclipses of the sun and the moon. The stones were arranged in line with the position of the sun, so that at sunrise on certain significant days of the year, such as the vernal equinox (the first day of spring), the sun's rays shone on a specific (20) stone. The prehistoric inhabitants of the area were farmers; perhaps they used Stonehenge to time the planting of their crops."
apr_2014,2,2,18-22,310,3,16,19.4,13.3,8.8,0.81,social_science,Gender bias in criminal justice,claim_then_counterclaim,True,However,question,last_fact,False,False,ok,"(1) Are men and women treated equally by the criminal justice system in the United States? While most people agree that the answer is no, they disagree about why. Many argue that the system is biased against women victims, particularly in cases of rape or domestic violence. However, some analysts claim that there is another (5) bias, which is often ignored – one that favors female criminals. The justice system, like society in general, tends to believe that women are innocent, says Cathy Young, vice president of the Women's Freedom Network. For this reason, female offenders are treated less harshly than males. ""Feminists never complain about this,"" she notes. ""They tend to overlook instances in which gender bias works to women's advantage.""

(10) Some feminists do concede that women sometimes receive more lenient treatment. However, they argue that this is not necessarily a good thing: it reflects the paternalistic view that women are less than fully responsible adults. Feminists point out that the women who benefit from gender bias are typically those who fit the prevailing image of women as nurturing and unaggressive. But the consequences for women who defy this (15) stereotype can be very grave. According to Wendy Kaminer, the author of A Fearful Freedom – a book on women's status in the American legal system – violent women are considered unnatural and even monstrous. In fact, says Kaminer, women who commit violent crimes – especially in the domestic sphere – are treated more severely than men.

Both sides invoke statistical studies that appear to support their positions. One (20) study of Pennsylvania courts, for example, found that men are 11 percent more likely than women to be imprisoned for the same crimes. However, other studies have shown that women receive harsher sentences than men in drug cases and for child abandonment and assault – crimes that seem to challenge deeply held ideas about how women, especially mothers, should behave."
apr_2017,1,1,13-17,263,3,16,16.4,16.7,12.7,0.75,technology_engineering,How astronauts eat food in space,chronological_narrative,False,,historical_date_anchor,last_fact,False,False,ok,"(1) Since ancient times, travelers setting out on long journeys have taken with them food that is easy to carry and does not go bad. During the Age of Exploration, sailors survived lengthy sea voyages on dried food and food preserved in salt. The dawn of the Space Age posed new challenges: how and what to eat in the weightless conditions of a (5) spacecraft.

American astronaut John Glenn ate the first meal in space aboard the Friendship 7 spacecraft in 1962. His meal consisted of a meat and vegetable mixture that he squeezed into his mouth from a tube like those used for toothpaste. For dessert, he had applesauce, served the same way. This was hardly a pleasant eating experience but did (10) prove that humans could eat, swallow, and digest food in an environment without gravity. In the years that followed, many improvements were made to dining in space. Today, the food is tastier, more varied, and presented in a more conventional manner. Food packets and utensils are set out on a tray, where they are kept from floating away by means of magnets and Velcro fasteners.

(15) Astronauts can even enjoy ice cream, although for years, they were denied this much-loved comfort food. By 1968, scientists had created freeze-dried ice cream, which did not need to be kept cold. Unfortunately, it tasted nothing like the real thing. Even worse, freeze-dried ice cream crumbled. This made it dangerous: floating pieces of ice cream could damage the spacecraft's sensitive electronic systems. In 1973, (20) astronauts finally got the real thing after a small freezer was installed in the Skylab space station."
apr_2017,1,2,18-22,225,3,13,17.3,19.0,13.3,1.23,medicine_health,Antisocial personality disorder and the brain,phenomenon_then_cause,True,warns against overstating,definition,quotation,False,False,ok,"(1) Antisocial personality disorder (APD) is a psychological condition that affects about 3 percent of men and 1 percent of women in the United States. Some experts estimate that up to 80 percent of prisoners convicted of violent crimes have APD. Ironically, people with APD are usually sociable and even charming. Beneath this (5) veneer, however, they are often irresponsible, uncaring, and dishonest. APD sufferers tend to be impulsive and rarely stop to consider the consequences of their actions. While they may apologize for their behavior, they do not feel regret.

Researchers at the University of Southern California (USC) studied 21 men who had been diagnosed with APD, all of whom had committed violent crimes. They found (10) that their subjects had extremely low nerve cell volume and decreased neural activity in the area of the brain called the prefrontal cortex. Responsible for self-restraint and the ability to predict the outcome of actions, the prefrontal cortex is central to the development of conscience and social sensitivity.

Adrian Raine, a psychopathologist from USC, warns against overstating the (15) relationship between biology and violent behavior. A deficiency in the prefrontal cortex, according to Raine, is not the only determinant of violent behavior; social and environmental factors must also be taken into account. ""Some people who have prefrontal deficits do not become antisocial, and some antisocial individuals do not have prefrontal deficits. Biology is not destiny."""
apr_2017,2,1,13-17,258,3,12,21.5,9.0,2.7,0.5,biography,Iraqi collector of commemorative pencils,expository_descriptive,False,,named_person,quotation,True,False,ok,"(1) For more than fifty years, Iraqi journalist Waleed Ibrahim has been collecting pencils associated with important people and events in his country's history. Known to his friends and colleagues as Abu Iqlam (Father of Pencils) because of his unusual hobby, Ibrahim has one of the largest pencil collections in the Middle East. ""A pencil is (5) a simple, cheap writing tool, but it is found everywhere,"" said Ibrahim in an interview with the international Arabic-language newspaper Asharq Al-Awsat. ""I started to collect pencils when I was young,"" he explained, ""and this hobby grew as I got older.""

Today, Ibrahim has thousands of commemorative pencils, some of them quite rare. The oldest dates from 1918. Some honor past Iraqi leaders, such as King Faisal I and (10) Prime Minister Abd al-Karim Qasim. Others are souvenirs of major sporting or cultural events. Ibrahim also has pencils featuring people in traditional Iraqi dress as well as pencils that have their price marked in fils, a form of money that has not been used in Iraq for more than forty years.

Ibrahim explained that all pencils sold in Iraq today are imported because the three (15) factories that once produced them have closed down. However, most of the pencils in his possession were manufactured locally. Asked in the interview with Asharq Al-Awsat whether he would ever consider selling his pencils, Ibrahim answered that he has no intention of parting with them. He pointed out that even though an ordinary pencil costs very little, his collection is of immeasurable value: ""Nobody can put a price on it."""
apr_2017,2,2,18-22,371,4,21,17.7,12.5,8.6,0.76,biography,John Howard Griffin's Black Like Me,chronological_narrative,True,Although he expected,named_person,last_fact,True,False,ok,"(1) By nearly any measure, John Howard Griffin (1920-1980) led a remarkable life. Gifted with perfect pitch, a photographic memory, and a sensitive soul, he left the United States at the age of 15 to study music in France. There he was stunned to find black and white students studying together and socializing, something the white (5) teenager had never seen in his native Texas. While he was in France, World War II broke out. Griffin joined the French Resistance and later the U.S. Army, was wounded in action and temporarily lost his eyesight.

Back in the United States after the war, Griffin was gravely disturbed by the racial prejudice that was rampant in the American South. He undertook a radical experiment: (10) to try living as a black man in a segregated world. He shaved his head and turned his skin dark using a combination of drugs, ultraviolet light, and dyes. As he later wrote, ""The transformation was total and shocking. . . . I looked in the mirror and saw nothing of the white John Griffin's past.""

So began Griffin's six-week odyssey through the southern states of Louisiana, (15) Mississippi, Alabama, and Georgia. He experienced discrimination at every turn. He was forced to sit at the back of buses and encountered ""Whites Only"" signs at restaurants, on park benches, and even on water fountains. He had no access to basic necessities that white people took for granted: a place to eat, a bathroom, a drink of water. Despite being well educated, he could find only the most menial work. In the (20) black communities where he stayed, Griffin found neglect and hopelessness. By the end of his journey, he saw in his own face the same look of defeat he had seen all over the South.

Griffin described his experiences in a 1961 book entitled Black Like Me. Although he expected the book to be ""an obscure work, of interest primarily to sociologists"", it in (25) fact generated tremendous public reaction. While many people expressed admiration for his work, others were so hostile that Griffin and his family had to leave the United States for several years. Nonetheless, he remained an outspoken advocate of equal rights for black Americans and promoted dialogue between white and black communities throughout the South."
autumn_2018,1,1,13-17,294,4,15,19.6,21.5,17.3,1.07,biography,Rumi's life and enduring poetry,expository_descriptive,True,It may seem odd,historical_date_anchor,summary_restatement,True,False,SUSPECT,"(1) The year 2007 marked the 800th anniversary of the birth of Jalal al-Din Mohammad Balkhi, more commonly known as Rumi. To pay homage to this eminent Muslim theologian, philosopher, and mystical poet, the United Nations Educational, Scientific, and Cultural Organization (UNESCO) proclaimed it the Year of Rumi, and (5) commemorative events were held throughout the world.

Born in 1207 on the eastern edge of the Persian Empire (present-day Afghanistan), Rumi lived during a period of social and political upheaval in an area under constant threat of invasion. His family fled, roaming throughout the region and eventually settling in Konya, in what is now Turkey. There, Rumi became a traditional Islamic (10) scholar and teacher, following in the footsteps of his father and grandfather. The turning point in his life came when he met Shams al-Din, a wandering mystic, who awakened Rumi's own spirituality, leading Rumi to abandon his scholarly career and begin writing mystical poetry.

Rumi's literary standing transcends national, cultural, and linguistic borders. For (15) centuries, his writings have influenced Persian and Turkish literature. To date, over 20 volumes of Rumi's works have been translated into 23 languages and have sold more than two million copies worldwide. In the 1970s, interest in his poetry was sparked in the English-speaking world by Coleman Barks's innovative translations. Indeed, Rumi is one of the best-selling poets in the US today.

(20) It may seem odd that a 13th-century mystic has become one of the best-loved poets of our time. Barks suggests that Rumi endures because of his startlingly imaginative freshness, the profound longing that readers can sense, and his humour. ""There's always a playfulness stirred in with the wisdom,"" Barks points out. And, he adds, contemporary readers respond to Rumi's poetry because they feel they are being (25) spoken to directly by an inspirational teacher."
autumn_2018,1,2,18-22,426,4,15,28.4,13.4,10.0,1.33,natural_science,Boaty McBoatface submarine's Antarctic mission,expository_descriptive,True,however,historical_date_anchor,irony_or_twist,False,False,SUSPECT,"(1) In 2016, the United Kingdom's Natural Environment Research Council (NERC) asked the public to propose names for its new £200 million polar research ship. The proposal that won the online vote by an overwhelming majority was Boaty McBoatface, which lent an air of lightheartedness to a serious scientific endeavour. NERC, however, (5) vetoed what they considered to be a ludicrous proposition, opting instead for the fourth most popular choice: Sir David Attenborough, in honour of the prominent naturalist whose television documentaries have introduced people around the world to the wonders of nature. Nevertheless, in the interests of democracy, NERC bestowed the public's choice of name on another vessel: a small, state-of-the-art, unmanned (10) submarine that would be launched from the mother ship to investigate the ocean's depths. Despite its silly name, Boaty McBoatface would soon prove its worth.

In the spring of 2017, Boaty set off on its maiden trip. Its task was to gather measurements from one of the deepest and coldest ocean regions on earth: the 83-kilometre-long, 3.5-kilometre-deep Orkney Passage, located in the Southern Ocean (15) roughly 800 kilometres from Antarctica. Boaty's ability to manoeuvre underwater allowed it to collect a wider variety and larger amounts of data than surface research ships can; the latter are able to take measurements only from a fixed location. Lead scientist Professor Alberto Naveira Garabato from the University of Southampton notes, ""We are now able to obtain a much more detailed picture of what is happening in this (20) very important underwater landscape.""

The information provided by Boaty gives scientists a greater understanding of changes in the Antarctic region and also contributes to the UK's efforts to tackle global climate change. Naveira Garabato explains that over the past few decades, the speed of winds blowing over the Southern Ocean has increased, causing currents carrying the cold Antarctic bottom water to accelerate and, as they move faster, to produce more turbulence. This, in turn, causes more of the warm water from the upper ocean layers to mix with the colder water of the bottom layers, raising its temperature. As the warmed- up bottom water travels toward the equator, it could affect worldwide weather patterns and sea levels. The data collected during Boaty's mission will be used not only to (30) investigate these phenomena but also to determine whether other processes are involved in them.

It is unlikely that this Antarctic research project would have attracted public attention if Boaty McBoatface had been called only by its technical name: the Autosub Long Range. If not for the goofy name, the public would have missed a fascinating (35) lesson in science."
